TI,PY,TC,AU,DI
MARINE ALGAE BIOMASS: A VIABLE AND RENEWABLE RESOURCE FOR BIOFUEL PRODUCTION: A REVIEW,2024.0,9.0,NARAYANAN M,10.1016/j.algal.2024.103687
THE VALUE OF EXTERNALITIES FOR BIOFUELS AND IMPLICATIONS FOR POLICY-LED DEVELOPMENT: A DISCRETE CHOICE EXPERIMENT WITH AUSTRALIAN CONSUMERS,2023.0,5.0,DOSHI A;PASCOE S;COGLAN L;RAINEY TJ,10.1016/j.spc.2022.12.006
INTEGRATED APPLICATIONS OF MICROALGAE TO WASTEWATER TREATMENT AND BIOREFINERY: RECENT ADVANCES AND OPPORTUNITIES,2022.0,5.0,TUYEN NV;LIMJUCO LA;LEE K;DANG NM,10.14478/ace.2022.1031
"A REVIEW OF MICROALGAE-BASED BIOREFINERIES APPROACH FOR PRODUCED WATER TREATMENT: BARRIERS, PRETREATMENTS, SUPPLEMENTATION, AND PERSPECTIVES",2022.0,19.0,CAVALCANTI PESSÔA L;PINHEIRO CRUZ E;MOSQUERA DEAMICI K;BOMFIM ANDRADE B;SANTANA CARVALHO N;ROCHA VIEIRA S;ALVES DA SILVA JB;MAGALHÃES PONTES LA;OLIVEIRA DE SOUZA C;DRUZIAN JI;DE JESUS ASSIS D,10.1016/j.jece.2022.108096
WHY MICROALGAL BIOFUELS WON'T SAVE THE INTERNAL COMBUSTION MACHINE,2010.0,87.0,VAN BEILEN JB,10.1002/bbb.193
,,,,
,,,,
,,,,
,,,,
,,,,
"UNLOCKING THE POTENTIAL OF MICROALGAE BIO-FACTORIES FOR CARBON DIOXIDE MITIGATION: A COMPREHENSIVE EXPLORATION OF RECENT ADVANCES, KEY CHALLENGES, AND ENERGY-ECONOMIC INSIGHTS.",2023.0,0.0,DASAN YALEENI KANNA;LAM MAN KEE;CHAI YEE HO;LIM JUN WEI;HO YEEK CHIA;TAN INN SHI;LAU SIE YON;SHOW PAU LOKE;LEE KEAT TEONG,10.1016/j.biortech.2023.129094
,,,,
,,,,
TRANSITIONING TO SUSTAINABLE USE OF BIOFUEL IN AUSTRALIA.,2017.0,0.0,SASONGKO N. A.;THORNS C.;SANKOFF I.;CHEW SHUTENG CHEW SHUTENG;BISTA S.,10.1051/rees/2017034
"1ST INTERNATIONAL COASTAL BIOLOGY CONGRESS, YANTAI, CHINA, 26-30 SEPTEMBER 2014.",2016.0,0.0,,10.1007/s10811-015-0720-4
