filename,topic,topic_name,topic_probability
A review of the strategy to promote microalgae value in CO2 conversion-lipid enrichment-biodiesel production.pdf,4,4_the_of_and_biodiesel,0.3290066961436151
Algal biofuel and their impact on agriculture and environment.pdf,0,0_the_of_and_in,0.2473294407564723
"Bioremediation of water containing pesticides by microalgae mechanisms, methods, and prospects for future research..pdf",1,1_the_of_and_in,1.0
Carbon sequestration using microalgae - a review.pdf,1,1_the_of_and_in,0.1969593621094711
Critical factors in energy generation from microalgae.pdf,0,0_the_of_and_in,1.0
"Current status, issues and developments in microalgae derived biodiesel production.pdf",4,4_the_of_and_biodiesel,1.0
Economic and policy issues in the production of algae-based biofuels a review..pdf,2,2_and_of_the_in,0.2469543069021841
"Exploring the potential and progress of microalgae biomass production, harvesting, and pre-treatment for sustainable biofuel production a comprehensive review.pdf",5,5_of_and_the_in,1.0
Microalgal cultivation in secondary effluentrecent developments and  future work..pdf,5,5_of_and_the_in,0.2478470314765024
Net zero emission in circular bioeconomy from microalgae biochar        production a renewed possibility..pdf,3,3_the_of_and_in,1.0
Socioeconomic indicators for sustainable design and commercial        development of algal biofuel systems..pdf,0,0_the_of_and_in,0.1490380775574175
Sustainable microalgal biomass production in food industry wastewater   for low-cost biorefinery products a review..pdf,1,1_the_of_and_in,1.0
Sustainable technologies for the reclamation of greenhouse gas CO2.pdf,1,1_the_of_and_in,0.2422568458504309
Using microalgae to produce liquid transportation biodiesel What is next.pdf,4,4_the_of_and_biodiesel,1.0
Wastewater use in algae production for generation of renewable        resources a review and preliminary results..pdf,1,1_the_of_and_in,1.0
Water and emissions nexus for biodiesel in Iran.pdf,4,4_the_of_and_biodiesel,0.2460849706863002
