"Paper         ","DOI","TC","TCperYear","NTC"
"WIJFFELS RH, 2010, SCIENCE                                 ","10.1126/science.1189003         ","1638","102.4","3.130"
"SIALVE B, 2009, BIOTECHNOL ADV                             ","10.1016/j.biotechadv.2009.03.001"," 991"," 58.3","1.328"
"AHMAD AL, 2011, RENEWABLE SUSTAINABLE ENERGY REV           ","10.1016/j.rser.2010.09.018      "," 899"," 59.9","4.431"
"SINGH J, 2010, RENEWABLE SUSTAINABLE ENERGY REV            ","10.1016/j.rser.2010.06.014      "," 804"," 50.2","1.536"
"LAM MK, 2012, BIOTECHNOL ADV                               ","10.1016/j.biotechadv.2011.11.008"," 797"," 56.9","2.504"
"SLADE R, 2013, BIOMASS BIOENERGY                           ","10.1016/j.biombioe.2012.12.019  "," 788"," 60.6","2.450"
"KUMAR A, 2010, TRENDS BIOTECHNOL                           ","10.1016/j.tibtech.2010.04.004   "," 603"," 37.7","1.152"
"RAZZAK SA, 2013, RENEWABLE SUSTAINABLE ENERGY REV          ","10.1016/j.rser.2013.05.063      "," 543"," 41.8","1.688"
"MILANO J, 2016, RENEWABLE SUSTAINABLE ENERGY REV           ","10.1016/j.rser.2015.12.150      "," 515"," 51.5","5.351"
"PIENKOS PT, 2009, BIOFUEL BIOPROD BIOREFINING              ","10.1002/bbb.159                 "," 502"," 29.5","0.672"
"AMARO HM, 2011, APPL ENERGY                                ","10.1016/j.apenergy.2010.12.014  "," 485"," 32.3","2.391"
"RAHEEM A, 2018, J CLEAN PROD                               ","10.1016/j.jclepro.2018.01.125   "," 361"," 45.1","3.531"
"GOH BHH, 2019, RENEWABLE SUSTAINABLE ENERGY REV            ","10.1016/j.rser.2019.02.012      "," 336"," 48.0","2.678"
"BOROWITZKA MA, 2013, MITIGATION ADAPT STRATEG GLOBAL CHANGE","10.1007/s11027-010-9271-9       "," 299"," 23.0","0.930"
"ZHOU W, 2017, RENEWABLE SUSTAINABLE ENERGY REV             ","10.1016/j.rser.2017.03.065      "," 282"," 31.3","1.945"
"SARAVANAN AP, 2018, J CLEAN PROD                           ","10.1016/j.jclepro.2018.05.033   "," 265"," 33.1","2.592"
"LUM KK, 2013, J ANIMAL SCI BIOTECHNOL                      ","10.1186/2049-1891-4-53          "," 232"," 17.8","0.721"
"MORENO-GARCIA L, 2017, RENEWABLE SUSTAINABLE ENERGY REV    ","10.1016/j.rser.2017.03.024      "," 231"," 25.7","1.593"
"GIFUNI I, 2019, TRENDS BIOTECHNOL                          ","10.1016/j.tibtech.2018.09.006   "," 225"," 32.1","1.793"
"RAJESH BANU J, 2020, BIORESOUR TECHNOL                     ","10.1016/j.biortech.2020.122822  "," 216"," 36.0","2.993"
