"Sources       ","Articles"
"RENEWABLE AND SUSTAINABLE ENERGY REVIEWS     ","21"
"BIORESOURCE TECHNOLOGY                       ","20"
"APPLIED ENERGY                               "," 6"
"JOURNAL OF CLEANER PRODUCTION                "," 6"
"JOURNAL OF ENVIRONMENTAL MANAGEMENT          "," 6"
"BIOFUELS BIOPRODUCTS AND BIOREFINING         "," 5"
"BIOENERGY RESEARCH                           "," 4"
"BIORESOURCE TECHNOLOGY REPORTS               "," 4"
"CHEMICAL ENGINEERING JOURNAL                 "," 4"
"ENERGY REPORTS                               "," 4"
"RENEWABLE \& SUSTAINABLE ENERGY REVIEWS     "," 4"
"SCIENCE OF THE TOTAL ENVIRONMENT             "," 4"
"ALGAL RESEARCH                               "," 3"
"BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY  "," 3"
"BIOFUELS                                     "," 3"
"BIOMASS AND BIOENERGY                        "," 3"
"ENERGIES                                     "," 3"
"FERMENTATION                                 "," 3"
"JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING"," 3"
"RENEWABLE ENERGY                             "," 3"
